,0,1,2,3
0,0.18,0.22,0.15,0.28
1,-0.56,-0.54,-0.62,-0.46
2,-1.17,-1.17,-1.27,-1.07
3,-0.35,-0.43,-0.51,-0.35
4,-0.26,-0.23,-0.3,-0.16
5,-0.96,-0.95,-1.06,-0.85
6,0.22,0.2,0.13,0.26
7,0.74,0.78,0.72,0.84
8,0.36,0.29,0.23,0.35
9,0.34,0.32,0.25,0.39
10,0.56,0.69,0.63,0.74
11,-0.38,-0.33,-0.4,-0.25
12,-0.53,-0.55,-0.63,-0.48
13,-0.32,-0.32,-0.39,-0.25
14,-0.17,-0.21,-0.28,-0.15
15,1.36,1.34,1.28,1.39
16,-1.57,-1.5,-1.61,-1.39
17,0.78,0.78,0.73,0.84
18,-1.08,-1.08,-1.17,-0.99
19,-0.21,-0.22,-0.29,-0.14
20,0.04,0.01,-0.06,0.07
21,-0.98,-0.96,-1.04,-0.87
22,-0.0,0.04,-0.03,0.11
23,0.95,0.94,0.89,1.0
24,-0.14,-0.1,-0.17,-0.03
25,1.07,1.17,1.12,1.23
26,-0.59,-0.62,-0.71,-0.54
27,-0.22,-0.18,-0.21,-0.15
28,0.72,0.66,0.64,0.69
29,-0.8,-0.83,-0.86,-0.8
